Date,Venue,Home Team,Away Team,Score,Competition,Winner,Match report
16-Mar-19,Millennium Stadium, Wales, Ireland, ? – ?,2019 Six Nations,,
09-Mar-18,Murrayfield, Scotland, Wales, ? – ?,,,
24-Feb-19,Millennium Stadium, Wales, England, ? – ?,,,
09-Feb-19,Stadio Olimpico, Italy, Wales, ? – ?,,?,
01-Feb-19,Stade de France, France, Wales, ? – ?,,,
28-Nov-18,Millennium Stadium, Wales, South Africa, ? – ?,2018 Autumn Internationals,,
17-Nov-18,Millennium Stadium, Wales,Tier 2 nation TBD, ? – ?,,,
10-Nov-18,Millennium Stadium, Wales, Australia, ? – ?,,,
03-Nov-18,Millennium Stadium, Wales, Scotland, ? – ?,,,
16-Jun-18,Estadio Brigadier López, Argentina, Wales, ? – ?,2018 Wales rugby union tour of Argentina,,
09-Jun-18,Estadio San Juan del Bicentenario, Argentina, Wales, ? – ?,,,
17-Mar-18,Millennium Stadium, Wales, France, ? – ?,2018 Six Nations,,
11-Mar-18,Millennium Stadium, Wales, Italy,38 – 14,, Wales,
24-Feb-18,Aviva Stadium, Ireland, Wales,37 – 27,, Ireland,
10-Feb-18,Twickenham Stadium, England, Wales,12 – 6,, England,
03-Feb-18,Millennium Stadium, Wales, Scotland,34 – 7,, Wales,BBC
02-Dec-17,Millennium Stadium, Wales, South Africa,24 – 22,2017 Autumn Internationals, Wales,BBC
25-Nov-17,Millennium Stadium, Wales, New Zealand,18 – 33,, New Zealand,BBC
18-Nov-17,Millennium Stadium, Wales, Georgia,13 – 6,, Wales,BBC
11-Nov-17,Millennium Stadium, Wales, Australia,21 – 29,, Australia,BBC
23-Jun-17,Apia Park, Samoa, Wales,17 – 19,2017 Summer Tour, Wales,BBC
16-Jun-17,Eden Park, Tonga, Wales,6 – 24,, Wales,BBC
02-Jun-17,Parc Eirias,RGC 1404, Wales,19 – 88,2017 Summer tour warmup game, Wales,BBC
18-Mar-17,Stade de France, France, Wales,20 – 18,2017 Six Nations, France,BBC
10-Mar-17,Millennium Stadium, Wales, Ireland,22 – 9,, Wales,BBC
25-Feb-17,Murrayfield Stadium, Scotland, Wales,29 – 13,, Scotland,BBC
11-Feb-17,Millennium Stadium, Wales, England,16 – 21,, England,BBC
05-Feb-17,Stadio Olimpico, Italy, Wales,7 – 33,, Wales,BBC
26-Nov-16,Millennium Stadium, Wales, South Africa,27 – 13,2016 Autumn Internationals, Wales,BBC
19-Nov-16,Millennium Stadium, Wales, Japan,33 – 30,, Wales,BBC
12-Nov-16,Millennium Stadium, Wales, Argentina,24 – 20,, Wales,BBC
05-Nov-16,Millennium Stadium, Wales, Australia,8 – 32,, Australia,BBC
25-Jun-16,Forsyth Barr Stadium, New Zealand, Wales,46 – 6,2016 Wales rugby union tour of New Zealand, New Zealand,BBC
18-Jun-16,Westpac Stadium, New Zealand, Wales,36 – 22,, New Zealand,BBC
15-Jun-16,Waikato Stadium,Chiefs, Wales,40 – 7,,Chiefs,BBC
11-Jun-16,Eden Park, New Zealand, Wales,39 – 21,, New Zealand,BBC
30-May-16,Twickenham Stadium, England, Wales,27 – 13,2016 mid-year rugby union internationals, England,BBC
19-Mar-16,Millennium Stadium, Wales, Italy,64 – 14,2016 Six Nations Championship, Wales,BBC
12-Mar-16,Twickenham Stadium, England, Wales,25 – 21,, England,BBC
26-Feb-16,Millennium Stadium, Wales, France,19 – 10,, Wales,BBC
13-Feb-16,Millennium Stadium, Wales, Scotland,27 – 23,, Wales,BBC
07-Feb-16,Aviva Stadium, Ireland, Wales,16 – 16,,  draw,BBC
17-Oct-15,Twickenham Stadium, South Africa, Wales,23 – 19,2015 World Cup Quarter-Final, South Africa,BBC
10-Oct-15,Twickenham Stadium, Australia, Wales,15 – 6,2015 World Cup Pool A, Australia,BBC
01-Oct-15,Millennium Stadium, Wales, Fiji,23 – 13,, Wales,BBC
26-Sep-15,Twickenham Stadium, England, Wales,25 – 28,, Wales,BBC
20-Sep-15,Millennium Stadium, Wales, Uruguay,54 – 9,, Wales,BBC
05-Sep-15,Millennium Stadium, Wales, Italy,23 – 19,2015 Rugby World Cup warm-up matches, Wales,BBC
29-Aug-15,Aviva Stadium, Ireland, Wales,10 – 16,, Wales,BBC
08-Aug-15,Millennium Stadium, Wales, Ireland,21 – 35,, Ireland,BBC
21-Mar-15,Stadio Olimpico, Italy, Wales,20 – 61,2015 Six Nations Championship, Wales,BBC
14-Mar-15,Millennium Stadium, Wales, Ireland,23 – 16,, Wales,BBC
28-Feb-15,Stade de France, France, Wales,13 – 20,, Wales,BBC
15-Feb-15,Murrayfield, Scotland, Wales,23 – 26,, Wales,BBC
06-Feb-15,Millennium Stadium, Wales, England,16 – 21,, England,BBC
29-Nov-14,Millennium Stadium, Wales, South Africa,12 – 6,2014 Autumn Internationals, Wales (2),BBC
